version,difficulty,syncSource,service,level,actionType,category,estimatedSavings,description,contentHash,automatedCheck,id,checkImplemented,tipId,actionLabel,title,cloud,implementedInAct,serviceKey,createdAt,drilldownInstructions,drilldownApis,provider,providerRouting,confidenceTag,positiveCount,source
1,medium,bedrock-ai,API Gateway,3,advisory,right-sizing,10-25%,Remove unused API stages and set up caching to reduce the number of calls to backend services.,42501e78658f6b707cac9f6447568ee5e8c874c8906f06b12197d86092001627,aws apigateway get-stages --rest-api-id <api-id>,api gateway-001,false,api gateway-001,View Details,Right-size API Gateway stages,AWS,,,,,,,,,,
1,easy,bedrock-ai,API Gateway,3,advisory,scheduling,20-50%,Use API Gateway caching to reduce the number of calls to backend services and lower costs.,db9f59f670b727566d6564b6df5dc2950f462876f81384ad9eb82d96e0922509,aws apigateway get-cache --domain-name example.api --region us-east-1,api gateway-002,false,api gateway-002,View Details,Enable API Gateway Caching,AWS,,,,,,,,,,
,easy,,Amplify,1,delete,cleanup,varies,"Amplify charges for build minutes ($0.01/min), hosting ($0.15/GB served), and stored artifacts. Old preview branches, abandoned apps, and unused backends accumulate costs. Delete apps no longer in use and prune old branches.",,amplify:ListApps -> list all apps; amplify:ListBranches per app; check for apps with no recent deployments (>90 days),,false,amplify-001,Delete Unused Apps,Delete unused Amplify apps and branches,AWS,false,AWS Amplify,,,,,,,,
1,medium,bedrock-ai,Apigee,3,advisory,right-sizing,20-40%,Evaluate the performance and usage of Apigee environments and adjust their capacity to match actual needs.,48acb6bed9d1f0d25f2efe36560b88460f733558959ba3b1eaafe6da4ea70e2b,"gcloud apigee environments describe --organization=<ORG> --environment=<ENV> --format='get(name,cpu,memory)'",apigee-001,false,apigee-001,View Details,Right-size Apigee Environments,GCP,,,2026-06-02T19:12:00.225415+00:00,,,,,,,
,medium,,Apigee,2,pending,right-sizing,40-60%,"Apigee offers Eval, Intermediate, and Comprehensive tiers. Use Eval for dev/test, Intermediate for standard APIs, and only Comprehensive for high-traffic production requiring full SLA.",,,,false,gcp-apigee-001,Coming Soon,Right-size Apigee environment type and instances,GCP,false,Apigee,,,,,,,,
,medium,,Apigee,2,pending,architecture,20-40%,"Enable response caching in Apigee policies to serve repeated requests from cache. Reduces backend compute costs, API quota consumption, and Apigee message processing volume.",,,,false,gcp-apigee-002,Coming Soon,Use Apigee API proxy caching to reduce backend calls,GCP,false,Apigee,,,,,,,,
,medium,,App Engine,2,pending,right-sizing,25-40%,"Configure target CPU utilization, max instances, and idle timeout to prevent over-scaling. Set target_utilization to 0.7-0.8 and reduce max_instances to cap costs during traffic spikes.",,,,false,gcp-ae-001,Coming Soon,Use App Engine automatic scaling with conservative settings,GCP,false,App Engine,,,,,,,,
,hard,,App Engine,2,pending,architecture,30-50%,"Cloud Run offers per-request billing that scales to zero, while App Engine Standard charges for minimum instances. For services with variable traffic, Cloud Run often provides better cost efficiency.",,,,false,gcp-ae-002,Coming Soon,Migrate from App Engine Standard to Cloud Run for better pricing,GCP,false,App Engine,,,,,,,,
,easy,,App Engine,2,pending,scheduling,50-70%,Non-production App Engine versions with min_instances > 0 incur charges even without traffic. Set to zero and accept cold starts for dev/staging environments.,,,,false,gcp-ae-003,Coming Soon,Set minimum instances to zero for non-production App Engine versions,GCP,false,App Engine,,,,,,,,
,easy,,App Service,2,pending,right-sizing,30-70%,Downgrade underutilized App Service plans from Premium to Standard or Basic tier. Consider consolidating multiple low-traffic apps into a single plan.,,,,false,azure-appservice-001,Coming Soon,Scale down idle App Service plans,AZURE,false,App Service,,,,,,,,
,easy,,App Service,2,pending,architecture,40-60%,Multiple App Service apps can share a single plan's compute resources. Consolidate low-traffic apps to avoid paying for separate compute instances per application.,,,,false,azure-appservice-002,Coming Soon,Consolidate apps into shared App Service Plans,AZURE,false,App Service,,,,,,,,
,medium,,App Service,2,pending,pricing-model,35-55%,Reserve Premium v3 and Isolated v2 App Service Plan instances for 1 or 3 years. Provides up to 55% discount over pay-as-you-go for stable production web applications.,,,,false,azure-appservice-003,Coming Soon,Use Reserved Instances for production App Service Plans,AZURE,false,App Service,,,,,,,,
,medium,,App Service,2,pending,scheduling,25-45%,"Configure scale-out and scale-in rules based on HTTP queue length, CPU, or schedule. Avoid running maximum instances 24/7 when peak traffic only occurs during business hours.",,,,false,azure-appservice-004,Coming Soon,Use autoscaling rules for App Service Plans,AZURE,false,App Service,,,,,,,,
1,medium,bedrock-ai,AppSync,3,advisory,right-sizing,10-30%,Evaluate and adjust resolvers for unnecessary complexity. Delete unused resolvers.,0f936aa884666f76f2f627c8c57f2448b7f6ea80a12e95b99629e316f5d3bd3a,"aws appsync list-resolvers --api-id <API_ID> | jq '.resolvers[] | select(.fieldName == ""<FIELD>"")'",appsync-001,false,appsync-001,View Details,Right-size AppSync API resolvers,AWS,,,,,,,,,,
1,easy,bedrock-ai,AppSync,3,advisory,right-sizing,10-30%,Switch to on-demand capacity for AppSync if usage is unpredictable to avoid over-provisioning.,9317fc5f6a8076b0889025716b46a2522226e448a1d860aea77f926675b349f7,aws appsync get-graphql-api --api-id <API_ID> --query 'api.dataSources' --output text,appsync-002,false,appsync-002,View Details,Use On-Demand Capacity for AppSync,AWS,,,,,,,,,,
1,medium,bedrock-ai,AppSync,3,advisory,monitoring,10-30%,"Utilize AppSync caching to reduce the number of requests to your data sources, lowering costs.",0f412ee6173695d6042b64939286d50a3cf9abb3bfe4117ca2b936c0b0f5ea97,aws appsync get-graphql-api --api-id <api-id> --query 'graphqlApi.dataSources[?typeName==`HTTP`].httpDataSourceConfig.httpConfiguration.endpoint',appsync-003,false,appsync-003,View Details,Enable Caching for AppSync APIs,AWS,,,2026-05-31T02:10:37.913977+00:00,,,,,,,
1,easy,bedrock-ai,AppSync,3,advisory,unused-resources,varies,Identify and delete AppSync APIs that are no longer in use to avoid unnecessary costs.,fb362e9eb038d87a054c6915ae42d3545564ac51034e2e325762b419e4bf0a8c,aws appsync list-graphql-apis --query 'graphqlApis[?status!= `DELETED`].name' --output text,appsync-004,false,appsync-004,View Details,Delete unused AppSync APIs,AWS,,,2026-06-01T02:10:37.168840+00:00,,,,,,,
,medium,,Application Gateway,2,pending,right-sizing,30-50%,Use autoscaling Application Gateway v2 instead of fixed capacity. Set appropriate min/max instance counts based on traffic patterns to avoid paying for unused capacity units.,,,,false,azure-appgw-001,Coming Soon,Right-size Application Gateway capacity units,AZURE,false,Application Gateway,,,,,,,,
,easy,,Application Gateway,2,pending,idle-resources,100%,Application Gateway v2 charges per hour plus capacity units even without traffic. Remove gateways for decommissioned applications or consolidate apps behind fewer gateways.,,,,false,azure-appgw-002,Coming Soon,Delete unused Application Gateway instances,AZURE,false,Application Gateway,,,,,,,,
1,easy,bedrock-ai,Application Insights,3,advisory,monitoring,10-25%,"Adjust data retention settings to match actual usage needs, reducing unnecessary storage costs.",1604973a97e84b58f9f4b23d2576f4868a99f1b82046ddb0d9041a234b3d7291,az monitor logs workspace list --query '[].retentionInDays' --output tsv,application insights-001,false,application insights-001,View Details,Optimize Application Insights retention,AZURE,,,2026-06-11T02:10:39.136892+00:00,,,,,,,
,easy,,Application Insights,2,pending,data-management,40-70%,Enable adaptive or fixed-rate sampling to reduce telemetry volume by 50-90% while preserving statistical accuracy. Most apps don't need 100% of request/dependency telemetry captured.,,,,false,azure-appinsights-001,Coming Soon,Configure sampling to reduce Application Insights volume,AZURE,false,Application Insights,,,,,,,,
,easy,,Application Insights,2,pending,data-management,20-40%,Configure a daily ingestion cap to prevent unexpected cost spikes from verbose logging or traffic bursts. Set alerts when approaching the cap to avoid data loss.,,,,false,azure-appinsights-002,Coming Soon,Set daily cap on Application Insights ingestion,AZURE,false,Application Insights,,,,,,,,
,medium,,Application Insights,2,pending,pricing-model,15-30%,Workspace-based Application Insights benefits from Log Analytics commitment tier pricing and data archival options. Migrate from classic resources to gain cost management features.,,,,false,azure-appinsights-003,Coming Soon,Move to workspace-based Application Insights,AZURE,false,Application Insights,,,,,,,,
,easy,,Artifact Registry,2,pending,cleanup,30-50%,Configure Artifact Registry cleanup policies to automatically delete container images and artifacts older than a retention period. Keeps only the last N versions to reduce storage costs.,,,,false,gcp-ar-001,Coming Soon,Set cleanup policies for old container images,GCP,false,Artifact Registry,,,,,,,,
,easy,,Artifact Registry,2,pending,architecture,20-30%,Multi-region repositories cost more per-GB storage. Use regional repositories when artifacts are only consumed from a single region to reduce storage and eliminate cross-region transfer costs.,,,,false,gcp-ar-002,Coming Soon,Use regional Artifact Registry repositories,GCP,false,Artifact Registry,,,,,,,,
1,medium,bedrock-ai,Athena,3,advisory,cleanup,varies,Clean up old Athena query results stored in S3 to avoid unnecessary storage costs.,86465888f56e2ca64b3fee2e39a1464783faeafe413a796fa1a612f4b92716ec,aws s3 ls s3://<your-athena-query-results-bucket> --recursive,athena-001,false,athena-001,View Details,Delete old Athena query results,AWS,,,,,,,,,,
1,medium,bedrock-ai,Athena,3,advisory,query-optimization,20-40%,Use partition pruning and columnar storage to reduce query costs. Review and optimize SQL queries for efficiency.,cf23456c4d60b26c969008d19bfab0875b97b3ca5fd3b3fef9aa0f770b41441f,None,athena-002,false,athena-002,View Details,Optimize Athena Queries,AWS,,,,,,,,,,
,easy,,Auto Scaling,2,deep-link,scheduling,40-70%,Scale Auto Scaling Groups to zero outside business hours for non-production environments. Use SlashMyBill Scheduler (Act → Scheduler) to automatically set desired/min/max to 0 at night and restore original values in the morning.,,autoscaling:DescribeAutoScalingGroups → check tags for Environment=dev/test/staging. If non-prod + running 24/7 → recommend scheduling.,,true,asg-001,Go to Scheduler,Schedule ASG scale-down outside business hours,AWS,true,Auto Scaling,,,,,,,,
1,medium,bedrock-ai,Auto Scaling,3,advisory,right-sizing,10-30%,Regularly review and adjust the instance types of Auto Scaling groups to match workload requirements.,35caba765d5d90f690d973f6e8b23c422e69ec863f75367ae31110f2fdc409dd,"aws autoscaling describe-auto-scaling-groups --query 'AutoScalingGroups[?contains(Instances[*].InstanceType, `m`)]'",auto scaling-001,false,auto scaling-001,View Details,Right-size Auto Scaling groups,AWS,,,2026-06-02T16:11:38.733455+00:00,"1. List all ASGs — check min/max/desired capacity settings. 2. If min=desired=max: no auto-scaling happening (fixed cost, likely over-provisioned). 3. Check if scaling policies exist — ASGs without policies never scale. 4. For dev/test ASGs: schedule scale-to-zero during off-hours (use Act > Scheduler). 5. Check instance diversity — single instance type risks capacity issues; add Spot mix for savings.","[""autoscaling:DescribeAutoScalingGroups"",""autoscaling:DescribeScalingActivities(AutoScalingGroupName='<each>')"",""cloudwatch:GetMetricStatistics(Namespace='AWS/EC2',MetricName='CPUUtilization',Period=86400,Statistics=['Average'],StartTime=-7d)""]",,,,,
1,medium,bedrock-ai,Azure AD,3,advisory,licensing,varies,Review and remove unnecessary Azure AD licenses for users to avoid overpaying for unused features.,4c72a8c6becd60db91649de33fd0ff12233737d278136e6bdbc8858415b0a021,"az ad user list --query ""[?not_(@.userPrincipalName | contains('unused'))]"" --output table",azure ad-001,false,azure ad-001,View Details,Optimize Azure AD Licensing,AZURE,,,2026-06-02T19:12:00.225415+00:00,"1. List all licensed users — identify accounts that haven't signed in for 90+ days. 2. Check subscribed SKUs to see P1/P2 license assignments. 3. Remove P2 licenses from users who don't need Privileged Identity Management or Identity Protection. 4. Downgrade inactive users from P2 to P1, or P1 to Free. 5. Use group-based licensing to auto-manage assignments. 6. Show: 'X users have P2 license ($9/user/mo) but only Y use PIM features. Downgrade X-Y users to P1 saves $Z/mo.'","[""az ad user list --query '[].{displayName:displayName,accountEnabled:accountEnabled,userType:userType}'"",""az rest --method get --url 'https://graph.microsoft.com/v1.0/subscribedSkus'"",""az ad group list --query '[].{displayName:displayName,memberCount:length(members)}'"",""az rest --method get --url 'https://graph.microsoft.com/v1.0/reports/getOffice365ActiveUserDetail(period=\""D30\"")'""]",,,,,
1,easy,bedrock-ai,Azure AD,3,advisory,cleanup,varies,Identify and delete unused Azure AD users to avoid unnecessary licensing costs.,79e4ef9a5d04f009eb4c78498f8a4990f72bb797552896b17ea568bd1f101a8c,"az ad user list --query '[].{id: id, displayName: displayName}'",azure ad-002,false,azure ad-002,View Details,Remove Unused Azure AD Users,AZURE,,,2026-06-05T02:10:37.609239+00:00,"1. List all licensed users — identify accounts that haven't signed in for 90+ days. 2. Check subscribed SKUs to see P1/P2 license assignments. 3. Remove P2 licenses from users who don't need Privileged Identity Management or Identity Protection. 4. Downgrade inactive users from P2 to P1, or P1 to Free. 5. Use group-based licensing to auto-manage assignments. 6. Show: 'X users have P2 license ($9/user/mo) but only Y use PIM features. Downgrade X-Y users to P1 saves $Z/mo.'","[""az ad user list --query '[].{displayName:displayName,accountEnabled:accountEnabled,userType:userType}'"",""az rest --method get --url 'https://graph.microsoft.com/v1.0/subscribedSkus'"",""az ad group list --query '[].{displayName:displayName,memberCount:length(members)}'"",""az rest --method get --url 'https://graph.microsoft.com/v1.0/reports/getOffice365ActiveUserDetail(period=\""D30\"")'""]",,,,,
1,medium,bedrock-ai,Azure AD,3,advisory,licensing,10-30%,Regularly audit Azure AD licenses to remove unused ones.,da69f14a2bd9e44c1e1ce8f246a4684ab953bc21ac586341ce4d9d9a5a1b4e63,"az ad user list --query ""[?not_contains(servicePlans, 'AZUREAD') || not_contains(servicePlans, 'ENTERPRISEPACK') ]"" --output table",azure ad-003,false,azure ad-003,View Details,Review Azure AD Licenses,AZURE,,,2026-06-08T02:10:39.276298+00:00,"1. List all licensed users — identify accounts that haven't signed in for 90+ days. 2. Check subscribed SKUs to see P1/P2 license assignments. 3. Remove P2 licenses from users who don't need Privileged Identity Management or Identity Protection. 4. Downgrade inactive users from P2 to P1, or P1 to Free. 5. Use group-based licensing to auto-manage assignments. 6. Show: 'X users have P2 license ($9/user/mo) but only Y use PIM features. Downgrade X-Y users to P1 saves $Z/mo.'","[""az ad user list --query '[].{displayName:displayName,accountEnabled:accountEnabled,userType:userType}'"",""az rest --method get --url 'https://graph.microsoft.com/v1.0/subscribedSkus'"",""az ad group list --query '[].{displayName:displayName,memberCount:length(members)}'"",""az rest --method get --url 'https://graph.microsoft.com/v1.0/reports/getOffice365ActiveUserDetail(period=\""D30\"")'""]",,,,,
,easy,,Azure AD,2,pending,licensing,20-40%,"Assign P1/P2 licenses only to users who need premium features (Conditional Access, PIM, Identity Protection). Use group-based licensing to automate and audit assignments.",,,,false,azure-ad-001,Coming Soon,Optimize Azure AD Premium license assignments,AZURE,false,Azure AD,,,,,,,,
